Dev Name, Dev ID,       Date / Time [GMT],     Date / Time [Local],     Latitude,    Longitude, Altitude [m], Fix Status,  DOP, Temp [C], Main [V], Back [V]
5728Hamm,  80621,    05-01-2018  00:01:09,    04-30-2018  18:01:09,   43.0223675,  -90.6012383,       278.85, 4 or more SV KF     ,  2.6,     25.0,     0.00,     0.00
5728Hamm,  80621,    05-01-2018  02:00:51,    04-30-2018  20:00:51,   43.0226942,  -90.6055722,       279.52, 3-D least-squares   ,  1.4,     21.0,     0.00,     0.00
5728Hamm,  80621,    05-01-2018  04:00:33,    04-30-2018  22:00:33,   43.0270778,  -90.6011464,       310.26, 3-D least-squares   ,  1.0,     17.5,     0.00,     0.00
5728Hamm,  80621,    05-01-2018  06:00:36,    05-01-2018  00:00:36,   43.0270642,  -90.6011219,       307.47, 4 or more SV KF     ,  1.0,     17.0,     0.00,     0.00
5728Hamm,  80621,    05-01-2018  08:00:55,    05-01-2018  02:00:55,   43.0282942,  -90.6107686,       275.39, 4 or more SV KF     ,  2.6,     14.5,     0.00,     0.00
5728Hamm,  80621,    05-01-2018  10:00:36,    05-01-2018  04:00:36,   43.0234169,  -90.6306286,       310.73, 4 or more SV KF     ,  1.2,     15.0,     0.00,     0.00
5728Hamm,  80621,    05-01-2018  12:00:13,    05-01-2018  06:00:13,   43.0249025,  -90.6364092,       320.04, 4 or more SV KF     ,  1.2,     16.0,     0.00,     0.00
5728Hamm,  80621,    05-01-2018  14:01:06,    05-01-2018  08:01:06,   43.0181900,  -90.6147453,       232.42, 4 or more SV KF     ,  2.0,     24.5,     0.00,     0.00
5728Hamm,  80621,    05-01-2018  16:01:03,    05-01-2018  10:01:03,   43.0204025,  -90.6064678,       298.77, 3-D least-squares   ,  1.6,     14.0,     0.00,     0.00
5728Hamm,  80621,    05-01-2018  18:00:15,    05-01-2018  12:00:15,   43.0210119,  -90.6038986,       287.79, 4 or more SV KF     ,  2.0,     17.5,     0.00,     0.00
5728Hamm,  80621,    05-01-2018  20:00:58,    05-01-2018  14:00:58,   43.0220481,  -90.6014700,       259.70, 4 or more SV KF     ,  2.2,     24.0,     0.00,     0.00
5728Hamm,  80621,    05-01-2018  22:00:37,    05-01-2018  16:00:37,   43.0226053,  -90.6010806,       282.79, 4 or more SV KF     ,  1.4,     25.5,     0.00,     0.00
5728Hamm,  80621,    05-02-2018  00:00:36,    05-01-2018  18:00:36,   43.0240575,  -90.6007989,       298.99, 4 or more SV KF     ,  1.8,     23.0,     0.00,     0.00
5728Hamm,  80621,    05-02-2018  02:00:10,    05-01-2018  20:00:10,   43.0292092,  -90.5976625,       263.21, 4 or more SV KF     ,  3.6,     18.5,     0.00,     0.00
5728Hamm,  80621,    05-02-2018  04:01:10,    05-01-2018  22:01:10,             ,             ,             , 0                   ,  0.0,     18.5,     0.00,     0.00
5728Hamm,  80621,    05-02-2018  06:00:36,    05-02-2018  00:00:36,   43.0306208,  -90.5958475,       265.21, 4 or more SV KF     ,  1.0,     17.0,     0.00,     0.00
5728Hamm,  80621,    05-02-2018  08:00:06,    05-02-2018  02:00:06,   43.0275203,  -90.5988450,       300.10, 4 or more SV KF     ,  1.8,     16.0,     0.00,     0.00
5728Hamm,  80621,    05-02-2018  10:00:34,    05-02-2018  04:00:34,   43.0274797,  -90.5986106,       309.31, 3-D least-squares   ,  0.8,     16.0,     0.00,     0.00
