Dev Name, Dev ID,       Date / Time [GMT],     Date / Time [Local],     Latitude,    Longitude, Altitude [m], Fix Status,  DOP, Temp [C], Main [V], Back [V]
5880Nels-W,  80610,    05-01-2018  00:00:58,    04-30-2018  18:00:58,   43.0147261,  -90.5236483,       300.39, 4 or more SV KF     ,  4.2,     24.0,     0.00,     0.00
5880Nels-W,  80610,    05-01-2018  02:00:37,    04-30-2018  20:00:37,   43.0151311,  -90.5259083,       306.40, 4 or more SV KF     ,  1.0,     19.0,     0.00,     0.00
5880Nels-W,  80610,    05-01-2018  04:00:33,    04-30-2018  22:00:33,   43.0151839,  -90.5257489,       310.35, 3-D least-squares   ,  1.2,     18.0,     0.00,     0.00
5880Nels-W,  80610,    05-01-2018  06:00:15,    05-01-2018  00:00:15,   43.0150250,  -90.5253064,       304.36, 4 or more SV KF     ,  1.4,     17.0,     0.00,     0.00
5880Nels-W,  80610,    05-01-2018  08:00:51,    05-01-2018  02:00:51,   43.0155578,  -90.5245869,       306.88, 4 or more SV KF     ,  1.8,     16.0,     0.00,     0.00
5880Nels-W,  80610,    05-01-2018  10:00:35,    05-01-2018  04:00:35,   43.0149044,  -90.5234906,       298.21, 4 or more SV KF     ,  3.8,     14.0,     0.00,     0.00
5880Nels-W,  80610,    05-01-2018  12:01:06,    05-01-2018  06:01:06,   43.0133058,  -90.5238444,       303.85, 4 or more SV KF     ,  1.2,     18.5,     0.00,     0.00
5880Nels-W,  80610,    05-01-2018  14:00:20,    05-01-2018  08:00:20,   43.0119458,  -90.5245689,       303.11, 4 or more SV KF     ,  2.2,     24.0,     0.00,     0.00
5880Nels-W,  80610,    05-01-2018  16:01:10,    05-01-2018  10:01:10,             ,             ,             , 0                   ,  0.0,     15.5,     0.00,     0.00
5880Nels-W,  80610,    05-01-2018  18:01:03,    05-01-2018  12:01:03,   43.0112300,  -90.5240139,       266.66, 4 or more SV KF     ,  1.2,     20.5,     0.00,     0.00
5880Nels-W,  80610,    05-01-2018  20:00:13,    05-01-2018  14:00:13,   43.0105394,  -90.5238356,       275.60, 4 or more SV KF     ,  2.8,     25.0,     0.00,     0.00
5880Nels-W,  80610,    05-01-2018  22:00:34,    05-01-2018  16:00:34,   43.0107856,  -90.5237769,       266.84, 3-D least-squares   ,  2.8,     24.0,     0.00,     0.00
5880Nels-W,  80610,    05-02-2018  00:00:38,    05-01-2018  18:00:38,   43.0122536,  -90.5250503,       297.22, 4 or more SV KF     ,  3.0,     23.5,     0.00,     0.00
5880Nels-W,  80610,    05-02-2018  02:00:33,    05-01-2018  20:00:33,   43.0151250,  -90.5258836,       307.11, 3-D least-squares   ,  1.0,     20.0,     0.00,     0.00
5880Nels-W,  80610,    05-02-2018  04:00:24,    05-01-2018  22:00:24,   43.0157892,  -90.5253253,       304.26, 3-D least-squares   ,  3.4,     17.0,     0.00,     0.00
5880Nels-W,  80610,    05-02-2018  06:00:33,    05-02-2018  00:00:33,   43.0156378,  -90.5251153,       306.15, 3-D least-squares   ,  1.2,     17.0,     0.00,     0.00
5880Nels-W,  80610,    05-02-2018  08:00:19,    05-02-2018  02:00:19,   43.0178147,  -90.5216494,       310.80, 4 or more SV KF     ,  2.2,     15.0,     0.00,     0.00
5880Nels-W,  80610,    05-02-2018  10:00:33,    05-02-2018  04:00:33,   43.0164147,  -90.5220556,       300.13, 3-D least-squares   ,  6.6,     16.0,     0.00,     0.00
5880Nels-W,  80610,    05-02-2018  12:01:01,    05-02-2018  06:01:01,   43.0145017,  -90.5239442,       259.67, 4 or more SV KF     ,  4.4,     17.5,     0.00,     0.00
5880Nels-W,  80610,    05-02-2018  14:00:33,    05-02-2018  08:00:33,   43.0142275,  -90.5234992,       271.81, 3-D least-squares   ,  1.8,     23.0,     0.00,     0.00
5880Nels-W,  80610,    05-02-2018  16:00:37,    05-02-2018  10:00:37,   43.0119531,  -90.5239106,       255.33, 4 or more SV KF     ,  2.0,     25.5,     0.00,     0.00
5880Nels-W,  80610,    05-02-2018  18:01:10,    05-02-2018  12:01:10,   43.0120419,  -90.5286181,        -0.07, 2-D least-squares   ,  6.4,     26.0,     0.00,     0.00
5880Nels-W,  80610,    05-02-2018  20:00:33,    05-02-2018  14:00:33,   43.0121158,  -90.5235417,       281.39, 3-D least-squares   ,  1.8,     23.0,     0.00,     0.00
5880Nels-W,  80610,    05-02-2018  22:00:26,    05-02-2018  16:00:26,   43.0120758,  -90.5247792,       294.94, 4 or more SV KF     ,  2.2,     22.0,     0.00,     0.00
5880Nels-W,  80610,    05-03-2018  00:01:04,    05-02-2018  18:01:04,   43.0123950,  -90.5237650,       281.85, 3-D least-squares   ,  2.0,     16.0,     0.00,     0.00
5880Nels-W,  80610,    05-03-2018  02:00:20,    05-02-2018  20:00:20,   43.0119292,  -90.5240136,       343.21, 3-D least-squares   ,  3.8,     14.5,     0.00,     0.00
5880Nels-W,  80610,    05-03-2018  04:00:33,    05-02-2018  22:00:33,   43.0126883,  -90.5250906,       302.64, 3-D least-squares   ,  1.2,     15.0,     0.00,     0.00
5880Nels-W,  80610,    05-03-2018  06:00:18,    05-03-2018  00:00:18,   43.0155550,  -90.5252739,       308.67, 4 or more SV KF     ,  1.8,     14.0,     0.00,     0.00
5880Nels-W,  80610,    05-03-2018  08:00:33,    05-03-2018  02:00:33,   43.0155725,  -90.5249542,       318.34, 3-D least-squares   ,  3.4,     16.0,     0.00,     0.00
