Dev Name, Dev ID,       Date / Time [GMT],     Date / Time [Local],     Latitude,    Longitude, Altitude [m], Fix Status,  DOP, Temp [C], Main [V], Back [V]
5177Nelsn+,  80607,    05-07-2018  10:00:33,    05-07-2018  04:00:33,   43.1025317,  -89.9968061,       276.03, 3-D least-squares   ,  1.8,     12.0,     0.00,     0.00
5177Nelsn+,  80607,    05-07-2018  12:00:15,    05-07-2018  06:00:15,   43.1038175,  -89.9982925,       274.13, 4 or more SV KF     ,  1.4,     10.0,     0.00,     0.00
5177Nelsn+,  80607,    05-07-2018  14:00:57,    05-07-2018  08:00:57,   43.1034436,  -89.9977028,       258.53, 4 or more SV KF     ,  1.6,     21.0,     0.00,     0.00
5177Nelsn+,  80607,    05-07-2018  16:00:37,    05-07-2018  10:00:37,   43.1034728,  -89.9978258,       271.15, 4 or more SV KF     ,  1.6,     26.5,     0.00,     0.00
5177Nelsn+,  80607,    05-07-2018  18:01:08,    05-07-2018  12:01:08,   43.1033861,  -89.9976539,       279.96, 4 or more SV KF     ,  4.0,     34.5,     0.00,     0.00
5177Nelsn+,  80607,    05-07-2018  20:01:08,    05-07-2018  14:01:08,   43.1030672,  -89.9973219,         0.26, 2-D least-squares   ,  2.6,     30.0,     0.00,     0.00
5177Nelsn+,  80607,    05-07-2018  22:01:10,    05-07-2018  16:01:10,             ,             ,             , 0                   ,  0.0,     31.0,     0.00,     0.00
5177Nelsn+,  80607,    05-08-2018  00:01:08,    05-07-2018  18:01:08,   43.0979653,  -89.9875325,         0.03, 2-D least-squares   ,  3.2,     25.5,     0.00,     0.00
5177Nelsn+,  80607,    05-08-2018  02:01:03,    05-07-2018  20:01:03,   43.0936006,  -90.0001475,       244.60, 4 or more SV KF     ,  2.2,     19.5,     0.00,     0.00
5177Nelsn+,  80607,    05-08-2018  04:01:10,    05-07-2018  22:01:10,             ,             ,             , 0                   ,  0.0,     16.0,     0.00,     0.00
5177Nelsn+,  80607,    05-08-2018  06:01:03,    05-08-2018  00:01:03,   43.1032200,  -89.9995456,       255.81, 3-D least-squares   ,  3.6,     18.5,     0.00,     0.00
5177Nelsn+,  80607,    05-08-2018  08:00:19,    05-08-2018  02:00:19,   43.1024683,  -89.9970642,       233.82, 4 or more SV KF     ,  2.0,     15.5,     0.00,     0.00
5177Nelsn+,  80607,    05-08-2018  10:00:57,    05-08-2018  04:00:57,   43.1028497,  -89.9968800,       274.86, 4 or more SV KF     ,  1.2,     14.5,     0.00,     0.00
5177Nelsn+,  80607,    05-08-2018  12:00:05,    05-08-2018  06:00:05,   43.1035019,  -89.9977275,       283.78, 4 or more SV KF     ,  3.0,     15.0,     0.00,     0.00
5177Nelsn+,  80607,    05-08-2018  14:01:06,    05-08-2018  08:01:06,   43.1046272,  -89.9972358,        -0.53, 2-D least-squares   ,  2.8,     24.5,     0.00,     0.00
5177Nelsn+,  80607,    05-08-2018  16:01:12,    05-08-2018  10:01:12,   43.1119056,  -89.9837333,         0.49, 2-D least-squares   , 31.8,     28.5,     0.00,     0.00
5177Nelsn+,  80607,    05-08-2018  18:00:29,    05-08-2018  12:00:29,   43.1031608,  -89.9966094,        -6.45, 3-D least-squares   ,  3.8,     29.0,     0.00,     0.00
5177Nelsn+,  80607,    05-08-2018  20:00:51,    05-08-2018  14:00:51,   43.1052553,  -89.9960444,       248.33, 3-D least-squares   ,  2.0,     29.5,     0.00,     0.00
5177Nelsn+,  80607,    05-08-2018  22:00:37,    05-08-2018  16:00:37,   43.1048961,  -89.9944106,       239.75, 4 or more SV KF     ,  3.2,     27.0,     0.00,     0.00
5177Nelsn+,  80607,    05-09-2018  00:01:06,    05-08-2018  18:01:06,   43.1047411,  -89.9932928,       253.77, 4 or more SV KF     ,  2.6,     24.5,     0.00,     0.00
5177Nelsn+,  80607,    05-09-2018  02:00:11,    05-08-2018  20:00:11,   43.1059714,  -89.9947178,       236.51, 4 or more SV KF     ,  3.8,     20.0,     0.00,     0.00
5177Nelsn+,  80607,    05-09-2018  04:00:33,    05-08-2018  22:00:33,   43.1040600,  -89.9955408,       254.14, 3-D least-squares   ,  1.4,     19.0,     0.00,     0.00
